no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3,,,,,,,,
32,36,ชัยภูมิ,จัตุรัส,04003,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนจาน,1143,1043,1032,15,,,,,,,,,,,,,,,,,,
33,36,ชัยภูมิ,จัตุรัส,03995,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนทอง,893,112,110,2,2,2,0,2,2,2,0,,,,,,,,,,,
34,36,ชัยภูมิ,ซับใหญ่,04009,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลตะโกทอง,602,463,458,21,5,5,0,0,0,5,0,,,,,,,,,,,
35,36,ชัยภูมิ,ซับใหญ่,04005,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลท่ากูบ,455,372,364,8,8,8,0,0,0,8,0,,,,,,,,,,,
36,36,ชัยภูมิ,ซับใหญ่,04008,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบุฉนวน,326,265,262,13,3,3,0,0,0,3,0,,,,,,,,,,,
37,36,ชัยภูมิ,บำเหน็จณรงค์,04018,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลจอมแก้ว,843,545,536,9,4,4,0,0,0,4,0,,,,,,,,,,,
38,36,ชัยภูมิ,บำเหน็จณรงค์,04014,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกุดแคน,138,119,118,1,1,1,0,1,0,1,0,,,,,,,,,,,
39,36,ชัยภูมิ,บำเหน็จณรงค์,04010,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านชวน,1625,1582,1537,68,45,40,5,43,2,45,2,,,,,,,,,,,
40,36,ชัยภูมิ,บำเหน็จณรงค์,04012,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตาล,632,589,580,9,9,8,1,1,0,9,1,,,,,,,,,,,
41,36,ชัยภูมิ,บำเหน็จณรงค์,04020,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปากจาบ,466,1,1,3,0,0,0,0,0,0,0,,,,,,,,,,,
42,36,ชัยภูมิ,บำเหน็จณรงค์,04016,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาดิน,360,347,347,24,0,0,0,0,0,0,0,,,,,,,,,,,
43,36,ชัยภูมิ,บำเหน็จณรงค์,04019,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกเพชร,601,466,457,26,9,9,0,0,0,0,0,,,,,,,,,,,
44,36,ชัยภูมิ,บำเหน็จณรงค์,04011,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองสองห้อง,573,7,5,2,2,2,0,2,0,2,0,,,,,,,,,,,
45,36,ชัยภูมิ,บำเหน็จณรงค์,04013,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองอีหล่อ,243,226,226,1,1,1,0,1,0,1,0,,,,,,,,,,,
46,36,ชัยภูมิ,บำเหน็จณรงค์,04015,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหัวทะเล,1059,34,29,8,5,5,0,5,0,5,0,,,,,,,,,,,
