no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3
37,30,นครราชสีมา,ครบุรี,02860,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลมาบกราด,620,538,528,10,,,,,,,,,,
38,30,นครราชสีมา,ครบุรี,02568,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลมาบตะโกเอน,855,593,572,21,,,,,,,,,,
39,30,นครราชสีมา,ครบุรี,02572,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลลำเพียก,847,762,735,27,,,,,,,,,,
40,30,นครราชสีมา,ครบุรี,02576,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลสระว่านพระยา,917,839,821,18,,,,,,,,,,
41,30,นครราชสีมา,ครบุรี,02575,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองบัว,813,643,624,19,,,,,,,,,,
42,30,นครราชสีมา,ครบุรี,02570,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลอังโกน,1336,1133,1095,38,,,,,,,,,,
43,30,นครราชสีมา,ครบุรี,02563,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลเฉลียงใหญ่,1905,1648,1600,48,,,,,,,,,,
44,30,นครราชสีมา,ครบุรี,14699,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกกระชาย,1302,1186,1163,23,23,23,0,23,0,23,0,,,
45,30,นครราชสีมา,ครบุรี,02571,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนกลาง,600,378,369,9,,,,,,,,,,
46,30,นครราชสีมา,จักราช,02606,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลดงพลอง,1704,195,187,49,49,,,,,,,,,
47,30,นครราชสีมา,จักราช,02603,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบุ,943,621,597,26,26,26,0,26,0,26,0,,,
48,30,นครราชสีมา,จักราช,02605,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลละกอ,1928,24,24,0,,,,,,,,,,
49,30,นครราชสีมา,จักราช,02834,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลสีสุก,1765,12,9,14,,,,,,,,,,
50,30,นครราชสีมา,จักราช,02741,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองขาม,1801,22,19,3,3,3,0,3,0,3,0,,,
51,30,นครราชสีมา,จักราช,02600,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองบัวตะแบง,1512,18,15,37,37,37,0,37,0,37,0,,,
52,30,นครราชสีมา,จักราช,02607,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหินโคน,1366,16,16,17,17,,,,,,,,,
53,30,นครราชสีมา,จักราช,02604,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกพระ,621,60,60,0,,,,,,,,,,
54,30,นครราชสีมา,ชุมพวง,13832,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลตลาดไทร,814,2,2,0,,,,,,,,,,
55,30,นครราชสีมา,ชุมพวง,02761,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลตาจง,1326,12,12,0,,,,,,,,,,
56,30,นครราชสีมา,ชุมพวง,02766,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลตูมใหญ่,1600,1215,1169,46,,,,,,,,,,
57,30,นครราชสีมา,ชุมพวง,02758,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลท่าลาด,1359,1359,1359,0,,,,,,,,,,
58,30,นครราชสีมา,ชุมพวง,02757,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขว้า,1395,321,317,4,,,,,,,,,,
59,30,นครราชสีมา,ชุมพวง,02764,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลปฏิรูปที่ดิน,715,0,,,,,,,,,,,,
60,30,นครราชสีมา,ชุมพวง,02767,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลประดู่,1191,27,26,1,,,,,,,,,,
61,30,นครราชสีมา,ชุมพวง,02756,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลประสุข,1530,36,36,0,,,,,,,,,,
62,30,นครราชสีมา,ชุมพวง,02762,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองตาด,748,566,561,5,,,,,,,,,,
63,30,นครราชสีมา,ชุมพวง,02765,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองหลัก,911,817,795,22,22,22,0,22,0,22,0,,,
64,30,นครราชสีมา,ชุมพวง,02759,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกพะงาด,845,296,290,6,,,,,,,,,,
65,30,นครราชสีมา,ชุมพวง,02760,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกหินช้าง,891,2,2,0,,,,,,,,,,
66,30,นครราชสีมา,ชุมพวง,02763,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนรัง,934,934,918,16,16,16,0,16,0,16,0,,,
67,30,นครราชสีมา,ด่านขุนทด,02618,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกุดพิมาน,1931,78,74,4,,,,,,,,,,
68,30,นครราชสีมา,ด่านขุนทด,02622,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกุดม่วง,1626,87,85,2,,,,,,,,,,
69,30,นครราชสีมา,ด่านขุนทด,02817,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลซับพลู,675,443,410,33,,,,,,,,,,
70,30,นครราชสีมา,ด่านขุนทด,02636,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลดอนป่าโอบ,997,63,53,10,,,,,,,,,,
71,30,นครราชสีมา,ด่านขุนทด,02619,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลด่านนอก,873,38,32,6,,,,,,,,,,
72,30,นครราชสีมา,ด่านขุนทด,02621,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลตะเคียน,812,338,331,7,,,,,,,,,,
73,30,นครราชสีมา,ด่านขุนทด,02824,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพระ,785,482,472,10,,,,,,,,,,
74,30,นครราชสีมา,ด่านขุนทด,02624,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแปรง,1465,138,134,4,,,,,,,,,,
75,30,นครราชสีมา,ด่านขุนทด,02625,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลพันชนะ,1608,73,68,5,,,,,,,,,,
76,30,นครราชสีมา,ด่านขุนทด,02623,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลวังโป่ง,1206,3,0,3,,,,,,,,,,
77,30,นครราชสีมา,ด่านขุนทด,02626,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลสระจรเข้,1159,502,484,18,18,18,0,18,0,18,0,,,
78,30,นครราชสีมา,ด่านขุนทด,02627,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองกราด,1990,29,24,5,,,,,,,,,,
79,30,นครราชสีมา,ด่านขุนทด,02628,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองบัวตะเกียด,1802,1069,1030,40,40,40,0,40,0,40,0,,,
80,30,นครราชสีมา,ด่านขุนทด,02629,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองบัวละคร,842,33,32,1,,,,,,,,,,
